列车号,服务号,车站,到达,出发,,车站名称,列车编号,,,
G433,32,8,22512,22557,,公主坟,T39,,,
G433,32,9,22657,22707,,军事博物馆,T39,,,
G433,32,10,22807,22837,,木樨地,T39,,,
G433,32,11,22957,22984,,南礼士路,T39,,,
G433,32,12,23064,23114,,复兴门,T39,,,
G433,32,13,23234,23278,,西单,T39,,,
G433,32,14,23383,23409,,天安门西,T39,,,
G433,32,15,23499,23527,,天安门东,T39,,,
G433,32,16,23617,23647,,王府井,T39,,,
G433,32,17,23732,23777,,东单,T39,,,
G433,32,18,23887,23932,,建国门,T39,,,
G433,32,19,24052,24082,,永安里,T39,,,
G433,32,20,24167,24212,,国贸,T39,,,
G433,32,21,24332,24377,,大望路,T39,,,
G433,32,22,24520,24550,,四惠,T39,,,
G433,32,23,24670,24670,,四惠东,T39,,,
G433,34,1,21892,21912,,苹果园,T41,,,
G433,34,2,22112,22142,,古城,T41,,,
G433,34,3,22292,22322,,八角游乐园,T41,,,
G433,34,4,22472,22497,,八宝山,T41,,,
G433,34,5,22617,22652,,玉泉路,T41,,,
G433,34,6,22792,22832,,五棵松,T41,,,
G433,34,7,22967,23002,,万寿路,T41,,,
G433,34,8,23112,23157,,公主坟,T41,,,
G433,34,9,23257,23307,,军事博物馆,T41,,,
G433,34,10,23407,23437,,木樨地,T41,,,
G433,34,11,23557,23584,,南礼士路,T41,,,
G433,34,12,23664,23714,,复兴门,T41,,,
G433,34,13,23834,23878,,西单,T41,,,
G433,34,14,23983,24009,,天安门西,T41,,,
G433,34,15,24099,24127,,天安门东,T41,,,
G433,34,16,24217,24247,,王府井,T41,,,
G433,34,17,24332,24377,,东单,T41,,,
G433,34,18,24487,24532,,建国门,T41,,,
G433,34,19,24652,24682,,永安里,T41,,,
G433,34,20,24767,24812,,国贸,T41,,,
G433,34,21,24932,24977,,大望路,T41,,,
G433,34,22,25120,25150,,四惠,T41,,,
G433,34,23,25270,25270,,四惠东,T41,,,
G433,32,1,22247,22267,,苹果园,T43,,,
G433,32,2,22467,22497,,古城,T43,,,
G433,32,3,22647,22677,,八角游乐园,T43,,,
G433,32,4,22827,22852,,八宝山,T43,,,
G433,32,5,22972,23007,,玉泉路,T43,,,
G433,32,6,23147,23187,,五棵松,T43,,,
G433,32,7,23322,23357,,万寿路,T43,,,
G433,32,8,23467,23512,,公主坟,T43,,,
G433,32,9,23612,23662,,军事博物馆,T43,,,
G433,32,10,23762,23792,,木樨地,T43,,,
G433,32,11,23912,23939,,南礼士路,T43,,,
G433,32,12,24019,24069,,复兴门,T43,,,
G433,32,13,24189,24233,,西单,T43,,,
G433,32,14,24338,24364,,天安门西,T43,,,
G433,32,15,24454,24482,,天安门东,T43,,,
G433,32,16,24572,24602,,王府井,T43,,,
G433,32,17,24687,24732,,东单,T43,,,
G433,32,18,24842,24887,,建国门,T43,,,
G433,32,19,25007,25037,,永安里,T43,,,
G433,32,20,25122,25167,,国贸,T43,,,
G433,32,21,25287,25332,,大望路,T43,,,
G433,32,22,25475,25505,,四惠,T43,,,
G433,32,23,25625,25625,,四惠东,T43,,,
G433,34,1,22847,22867,,苹果园,T45,,,
G433,34,2,23067,23097,,古城,T45,,,
G433,34,3,23247,23277,,八角游乐园,T45,,,
G433,34,4,23427,23452,,八宝山,T45,,,
G433,34,5,23572,23607,,玉泉路,T45,,,
G433,34,6,23747,23787,,五棵松,T45,,,
G433,34,7,23922,23957,,万寿路,T45,,,
G433,34,8,24067,24112,,公主坟,T45,,,
G433,34,9,24212,24262,,军事博物馆,T45,,,
G433,34,10,24362,24392,,木樨地,T45,,,
G433,34,11,24512,24539,,南礼士路,T45,,,
G433,34,12,24619,24669,,复兴门,T45,,,
G433,34,13,24789,24833,,西单,T45,,,
G433,34,14,24938,24964,,天安门西,T45,,,
G433,34,15,25054,25082,,天安门东,T45,,,
G433,34,16,25172,25202,,王府井,T45,,,
G433,34,17,25287,25332,,东单,T45,,,
G433,34,18,25442,25487,,建国门,T45,,,
G433,34,19,25607,25637,,永安里,T45,,,
G433,34,20,25722,25767,,国贸,T45,,,
G433,34,21,25887,25932,,大望路,T45,,,
G433,34,22,26075,26105,,四惠,T45,,,
G433,34,23,26225,26225,,四惠东,T45,,,
G433,32,1,23202,23222,,苹果园,T47,,,
G433,32,2,23422,23452,,古城,T47,,,
G433,32,3,23602,23632,,八角游乐园,T47,,,
G433,32,4,23782,23807,,八宝山,T47,,,
G433,32,5,23927,23962,,玉泉路,T47,,,
G433,32,6,24102,24142,,五棵松,T47,,,
G433,32,7,24277,24312,,万寿路,T47,,,
G433,32,8,24422,24467,,公主坟,T47,,,
G433,32,9,24567,24617,,军事博物馆,T47,,,
G433,32,10,24717,24747,,木樨地,T47,,,
G433,32,11,24867,24894,,南礼士路,T47,,,
G433,32,12,24974,25024,,复兴门,T47,,,
G433,32,13,25144,25188,,西单,T47,,,
G433,32,14,25293,25319,,天安门西,T47,,,
G433,32,15,25409,25437,,天安门东,T47,,,
G433,32,16,25527,25557,,王府井,T47,,,
G433,32,17,25642,25687,,东单,T47,,,
G433,32,18,25797,25842,,建国门,T47,,,
G433,32,19,25962,25992,,永安里,T47,,,
G433,32,20,26077,26122,,国贸,T47,,,
G433,32,21,26242,26287,,大望路,T47,,,
G433,32,22,26430,26460,,四惠,T47,,,
G433,32,23,26580,26580,,四惠东,T47,,,
G433,34,1,23802,23822,,苹果园,T49,,,
G433,34,2,24022,24052,,古城,T49,,,
G433,34,3,24202,24232,,八角游乐园,T49,,,
G433,34,4,24382,24407,,八宝山,T49,,,
G433,34,5,24527,24562,,玉泉路,T49,,,
G433,34,6,24702,24742,,五棵松,T49,,,
G433,34,7,24877,24912,,万寿路,T49,,,
G433,34,8,25022,25067,,公主坟,T49,,,
G433,34,9,25167,25217,,军事博物馆,T49,,,
G433,34,10,25317,25347,,木樨地,T49,,,
G433,34,11,25467,25494,,南礼士路,T49,,,
G433,34,12,25574,25624,,复兴门,T49,,,
G433,34,13,25744,25788,,西单,T49,,,
G433,34,14,25893,25919,,天安门西,T49,,,
G433,34,15,26009,26037,,天安门东,T49,,,
G433,34,16,26127,26157,,王府井,T49,,,
G433,34,17,26242,26287,,东单,T49,,,
G433,34,18,26397,26442,,建国门,T49,,,
G433,34,19,26562,26592,,永安里,T49,,,
G433,34,20,26677,26722,,国贸,T49,,,
G433,34,21,26842,26887,,大望路,T49,,,
G433,34,22,27030,27060,,四惠,T49,,,
G433,34,23,27180,27180,,四惠东,T49,,1230,
S405,8,23,19350,19350,,四惠东,T7,,,
S405,8,22,19490,19520,,四惠,T7,,,
S405,8,21,19663,19708,,大望路,T7,,,
S405,8,20,19828,19873,,国贸,T7,,,
S405,8,19,19958,19988,,永安里,T7,,,
S405,8,18,20108,20153,,建国门,T7,,,
S405,8,17,20263,20308,,东单,T7,,,
S405,8,16,20393,20423,,王府井,T7,,,
S405,8,15,20513,20539,,天东,T7,,,
S405,8,14,20629,20655,,天西,T7,,,
S405,8,13,20760,20805,,西单,T7,,,
S405,8,12,20925,20975,,复兴门,T7,,,
S405,8,11,21035,21061,,礼士路,T7,,,
S405,8,10,21181,21211,,木樨地,T7,,,
S405,8,9,21311,21361,,军博,T7,,,
S405,8,8,21461,21502,,公主坟,T7,,,
S405,8,7,21612,21647,,万寿路,T7,,,
S405,8,6,21782,21817,,五棵松,T7,,,
S405,8,5,21957,21987,,玉泉路,T7,,,
S405,8,4,22107,22137,,八宝山,T7,,,
S405,8,3,22287,22317,,八角村,T7,,,
S405,8,2,22467,22497,,古城,T7,,,
S405,8,1,22697,22697,,苹果园,T7,,,
S405,10,23,19940,19940,,四惠东,T9,590,,
S405,10,22,20080,20110,,四惠,T9,,,
S405,10,21,20253,20298,,大望路,T9,,,
S405,10,20,20418,20463,,国贸,T9,,,
S405,10,19,20548,20578,,永安里,T9,,,
S405,10,18,20698,20743,,建国门,T9,,,
S405,10,17,20853,20898,,东单,T9,,,
S405,10,16,20983,21013,,王府井,T9,,,
S405,10,15,21103,21129,,天东,T9,,,
S405,10,14,21219,21245,,天西,T9,,,
S405,10,13,21350,21395,,西单,T9,,,
S405,10,12,21515,21565,,复兴门,T9,,,
S405,10,11,21625,21651,,礼士路,T9,,,
S405,10,10,21771,21801,,木樨地,T9,,,
S405,10,9,21901,21951,,军博,T9,,,
S405,10,8,22051,22092,,公主坟,T9,,,
S405,10,7,22202,22237,,万寿路,T9,,,
S405,10,6,22372,22407,,五棵松,T9,,,
S405,10,5,22547,22577,,玉泉路,T9,,,
S405,10,4,22697,22727,,八宝山,T9,,,
S405,10,3,22877,22907,,八角村,T9,,,
S405,10,2,23057,23087,,古城,T9,,,
S405,10,1,23287,23287,,苹果园,T9,,,
S405,12,23,20530,20530,,四惠东,T11,1180,,
S405,12,22,20670,20700,,四惠,T11,,,
S405,12,21,20843,20888,,大望路,T11,,,
S405,12,20,21008,21053,,国贸,T11,,,
S405,12,19,21138,21168,,永安里,T11,,,
S405,12,18,21288,21333,,建国门,T11,,,
S405,12,17,21443,21488,,东单,T11,,,
S405,12,16,21573,21603,,王府井,T11,,,
S405,12,15,21693,21719,,天东,T11,,,
S405,12,14,21809,21835,,天西,T11,,,
S405,12,13,21940,21985,,西单,T11,,,
S405,12,12,22105,22155,,复兴门,T11,,,
S405,12,11,22215,22241,,礼士路,T11,,,
S405,12,10,22361,22391,,木樨地,T11,,,
S405,12,9,22491,22541,,军博,T11,,,
S405,12,8,22641,22682,,公主坟,T11,,,
S405,12,7,22792,22827,,万寿路,T11,,,
S405,12,6,22962,22997,,五棵松,T11,,,
S405,12,5,23137,23167,,玉泉路,T11,,,
S405,12,4,23287,23317,,八宝山,T11,,,
S405,12,3,23467,23497,,八角村,T11,,,
S405,12,2,23647,23677,,古城,T11,,,
S405,12,1,23877,23877,,苹果园,T11,,,
S405,14,23,21120,21120,,四惠东,T13,,,
S405,14,22,21260,21290,,四惠,T13,,,
S405,14,21,21433,21478,,大望路,T13,,,
S405,14,20,21598,21643,,国贸,T13,,,
S405,14,19,21728,21758,,永安里,T13,,,
S405,14,18,21878,21923,,建国门,T13,,,
S405,14,17,22033,22078,,东单,T13,,,
S405,14,16,22163,22193,,王府井,T13,,,
S405,14,15,22283,22309,,天东,T13,,,
S405,14,14,22399,22425,,天西,T13,,,
S405,14,13,22530,22575,,西单,T13,,,
S405,14,12,22695,22745,,复兴门,T13,,,
S405,14,11,22805,22831,,礼士路,T13,,,
S405,14,10,22951,22981,,木樨地,T13,,,
S405,14,9,23081,23131,,军博,T13,,,
S405,14,8,23231,23272,,公主坟,T13,,,
S405,14,7,23382,23417,,万寿路,T13,,,
S405,14,6,23552,23587,,五棵松,T13,,,
S405,14,5,23727,23757,,玉泉路,T13,,,
S405,14,4,23877,23907,,八宝山,T13,,,
S405,14,3,24057,24087,,八角村,T13,,,
S405,14,2,24237,24267,,古城,T13,,,
S405,14,1,24467,24467,,苹果园,T13,,,
S405,16,23,21800,21800,,四惠东,T15,1270,,
S405,16,22,21940,21970,,四惠,T15,1270,,
S405,16,21,22113,22158,,大望路,T15,,,
S405,16,20,22278,22323,,国贸,T15,,,
S405,16,19,22408,22438,,永安里,T15,,,
S405,16,18,22558,22603,,建国门,T15,,,
S405,16,17,22713,22758,,东单,T15,,,
S405,16,16,22843,22873,,王府井,T15,,,
S405,16,15,22963,22989,,天东,T15,,,
S405,16,14,23079,23105,,天西,T15,,,
S405,16,13,23210,23255,,西单,T15,,,
S405,16,12,23375,23425,,复兴门,T15,,,
S405,16,11,23485,23511,,礼士路,T15,,,
S405,16,10,23631,23661,,木樨地,T15,,,
S405,16,9,23761,23811,,军博,T15,,,
S405,16,8,23911,23952,,公主坟,T15,,,
S405,16,7,24062,24097,,万寿路,T15,,,
S405,16,6,24232,24267,,五棵松,T15,,,
S405,16,5,24407,24437,,玉泉路,T15,,,
S405,16,4,24557,24587,,八宝山,T15,,,
S405,16,3,24737,24767,,八角村,T15,,,
S405,16,2,24917,24947,,古城,T15,,,
S405,16,1,25147,25147,,苹果园,T15,,,
S405,18,23,22390,22390,,四惠东,T17,,,
S405,18,22,22530,22560,,四惠,T17,,,
S405,18,21,22703,22748,,大望路,T17,,,
S405,18,20,22868,22913,,国贸,T17,,,
S405,18,19,22998,23028,,永安里,T17,,,
S405,18,18,23148,23193,,建国门,T17,,,
S405,18,17,23303,23348,,东单,T17,,,
S405,18,16,23433,23463,,王府井,T17,,,
S405,18,15,23553,23579,,天东,T17,,,
S405,18,14,23669,23695,,天西,T17,,,
S405,18,13,23800,23845,,西单,T17,,,
S405,18,12,23965,24015,,复兴门,T17,,,
S405,18,11,24075,24101,,礼士路,T17,,,
S405,18,10,24221,24251,,木樨地,T17,,,
S405,18,9,24351,24401,,军博,T17,,,
S405,18,8,24501,24542,,公主坟,T17,,,
S405,18,7,24652,24687,,万寿路,T17,,,
S405,18,6,24822,24857,,五棵松,T17,,,
S405,18,5,24997,25027,,玉泉路,T17,,,
S405,18,4,25147,25177,,八宝山,T17,,,
S405,18,3,25327,25357,,八角村,T17,,,
S405,18,2,25507,25537,,古城,T17,,,
S405,18,1,25737,25737,,苹果园,T17,,,
S405,20,23,23060,23060,,四惠东,T19,1260,,
S405,20,22,23200,23230,,四惠,T19,,,
S405,20,21,23373,23418,,大望路,T19,,,
S405,20,20,23538,23583,,国贸,T19,,,
S405,20,19,23668,23698,,永安里,T19,,,
S405,20,18,23818,23863,,建国门,T19,,,
S405,20,17,23973,24018,,东单,T19,,,
S405,20,16,24103,24133,,王府井,T19,,,
S405,20,15,24223,24249,,天东,T19,,,
S405,20,14,24339,24365,,天西,T19,,,
S405,20,13,24470,24515,,西单,T19,,,
S405,20,12,24635,24685,,复兴门,T19,,,
S405,20,11,24745,24771,,礼士路,T19,,,
S405,20,10,24891,24921,,木樨地,T19,,,
S405,20,9,25021,25071,,军博,T19,,,
S405,20,8,25171,25212,,公主坟,T19,,,
S405,20,7,25322,25357,,万寿路,T19,,,
S405,20,6,25492,25527,,五棵松,T19,,,
S405,20,5,25667,25697,,玉泉路,T19,,,
S405,20,4,25817,25847,,八宝山,T19,,,
S405,20,3,25997,26027,,八角村,T19,,,
S405,20,2,26177,26207,,古城,T19,,,
S405,20,1,26407,26407,,苹果园,T19,,,
S405,22,23,23650,23650,,四惠东,T21,,,
S405,22,22,23790,23820,,四惠,T21,,,
S405,22,21,23963,24008,,大望路,T21,,,
S405,22,20,24128,24173,,国贸,T21,,,
S405,22,19,24258,24288,,永安里,T21,,,
S405,22,18,24408,24453,,建国门,T21,,,
S405,22,17,24563,24608,,东单,T21,,,
S405,22,16,24693,24723,,王府井,T21,,,
S405,22,15,24813,24839,,天东,T21,,,
S405,22,14,24929,24955,,天西,T21,,,
S405,22,13,25060,25105,,西单,T21,,,
S405,22,12,25225,25275,,复兴门,T21,,,
S405,22,11,25335,25361,,礼士路,T21,,,
S405,22,10,25481,25511,,木樨地,T21,,,
S405,22,9,25611,25661,,军博,T21,,,
S405,22,8,25761,25802,,公主坟,T21,,,
S405,22,7,25912,25947,,万寿路,T21,,,
S405,22,6,26082,26117,,五棵松,T21,,,
S405,22,5,26257,26287,,玉泉路,T21,,,
S405,22,4,26407,26437,,八宝山,T21,,,
S405,22,3,26587,26617,,八角村,T21,,,
S405,22,2,26767,26797,,古城,T21,,,
S405,22,1,26997,26997,,苹果园,T21,,,
