列车号,服务号,车站,到达,出发,,车站名称,列车编号,,
G433,32,12,23064,23114,,复兴门,T39,,
G433,32,13,23234,23278,,西单,T39,,
G433,32,14,23383,23409,,天安门西,T39,,
G433,32,15,23499,23527,,天安门东,T39,,
G433,32,16,23617,23647,,王府井,T39,,
G433,32,17,23732,23777,,东单,T39,,
G433,32,18,23887,23932,,建国门,T39,,
G433,32,19,24052,24082,,永安里,T39,,
G433,32,20,24167,24212,,国贸,T39,,
G433,32,21,24332,24377,,大望路,T39,,
G433,32,22,24520,24550,,四惠,T39,,
G433,32,23,24670,24670,,四惠东,T39,,
G433,34,1,21892,21912,,苹果园,T41,,
G433,34,2,22112,22142,,古城,T41,,
G433,34,3,22292,22322,,八角游乐园,T41,,
G433,34,4,22472,22497,,八宝山,T41,,
G433,34,5,22617,22652,,玉泉路,T41,,
G433,34,6,22792,22832,,五棵松,T41,,
G433,34,7,22967,23002,,万寿路,T41,,
G433,34,8,23112,23157,,公主坟,T41,,
G433,34,9,23257,23307,,军事博物馆,T41,,
G433,34,10,23407,23437,,木樨地,T41,,
G433,34,11,23557,23584,,南礼士路,T41,,
G433,34,12,23664,23714,,复兴门,T41,,
G433,34,13,23834,23878,,西单,T41,,
G433,34,14,23983,24009,,天安门西,T41,,
G433,34,15,24099,24127,,天安门东,T41,,
G433,34,16,24217,24247,,王府井,T41,,
G433,34,17,24332,24377,,东单,T41,,
G433,34,18,24487,24532,,建国门,T41,,
G433,34,19,24652,24682,,永安里,T41,,
G433,34,20,24767,24812,,国贸,T41,,
G433,34,21,24932,24977,,大望路,T41,,
G433,34,22,25120,25150,,四惠,T41,,
G433,34,23,25270,25270,,四惠东,T41,,
G433,32,1,22247,22267,,苹果园,T43,,
G433,32,2,22467,22497,,古城,T43,,
G433,32,3,22647,22677,,八角游乐园,T43,,
G433,32,4,22827,22852,,八宝山,T43,,
G433,32,5,22972,23007,,玉泉路,T43,,
G433,32,6,23147,23187,,五棵松,T43,,
G433,32,7,23322,23357,,万寿路,T43,,
G433,32,8,23467,23512,,公主坟,T43,,
G433,32,9,23612,23662,,军事博物馆,T43,,
G433,32,10,23762,23792,,木樨地,T43,,
G433,32,11,23912,23939,,南礼士路,T43,,
G433,32,12,24019,24069,,复兴门,T43,,
G433,32,13,24189,24233,,西单,T43,,
G433,32,14,24338,24364,,天安门西,T43,,
G433,32,15,24454,24482,,天安门东,T43,,
G433,32,16,24572,24602,,王府井,T43,,
G433,32,17,24687,24732,,东单,T43,,
G433,32,18,24842,24887,,建国门,T43,,
G433,32,19,25007,25037,,永安里,T43,,
G433,32,20,25122,25167,,国贸,T43,,
G433,32,21,25287,25332,,大望路,T43,,
G433,32,22,25475,25505,,四惠,T43,,
G433,32,23,25625,25625,,四惠东,T43,,
G433,34,1,22847,22867,,苹果园,T45,,
G433,34,2,23067,23097,,古城,T45,,
G433,34,3,23247,23277,,八角游乐园,T45,,
G433,34,4,23427,23452,,八宝山,T45,,
G433,34,5,23572,23607,,玉泉路,T45,,
G433,34,6,23747,23787,,五棵松,T45,,
G433,34,7,23922,23957,,万寿路,T45,,
G433,34,8,24067,24112,,公主坟,T45,,
G433,34,9,24212,24262,,军事博物馆,T45,,
G433,34,10,24362,24392,,木樨地,T45,,
G433,34,11,24512,24539,,南礼士路,T45,,
G433,34,12,24619,24669,,复兴门,T45,,
G433,34,13,24789,24833,,西单,T45,,
G433,34,14,24938,24964,,天安门西,T45,,
G433,34,15,25054,25082,,天安门东,T45,,
G433,34,16,25172,25202,,王府井,T45,,
G433,34,17,25287,25332,,东单,T45,,
G433,34,18,25442,25487,,建国门,T45,,
G433,34,19,25607,25637,,永安里,T45,,
G433,34,20,25722,25767,,国贸,T45,,
G433,34,21,25887,25932,,大望路,T45,,
G433,34,22,26075,26105,,四惠,T45,,
G433,34,23,26225,26225,,四惠东,T45,,
G433,32,1,23202,23222,,苹果园,T47,,
G433,32,2,23422,23452,,古城,T47,,
G433,32,3,23602,23632,,八角游乐园,T47,,
G433,32,4,23782,23807,,八宝山,T47,,
G433,32,5,23927,23962,,玉泉路,T47,,
G433,32,6,24102,24142,,五棵松,T47,,
G433,32,7,24277,24312,,万寿路,T47,,
G433,32,8,24422,24467,,公主坟,T47,,
G433,32,9,24567,24617,,军事博物馆,T47,,
G433,32,10,24717,24747,,木樨地,T47,,
G433,32,11,24867,24894,,南礼士路,T47,,
G433,32,12,24974,25024,,复兴门,T47,,
G433,32,13,25144,25188,,西单,T47,,
G433,32,14,25293,25319,,天安门西,T47,,
G433,32,15,25409,25437,,天安门东,T47,,
G433,32,16,25527,25557,,王府井,T47,,
G433,32,17,25642,25687,,东单,T47,,
G433,32,18,25797,25842,,建国门,T47,,
G433,32,19,25962,25992,,永安里,T47,,
G433,32,20,26077,26122,,国贸,T47,,
G433,32,21,26242,26287,,大望路,T47,,
G433,32,22,26430,26460,,四惠,T47,,
G433,32,23,26580,26580,,四惠东,T47,,
G433,34,1,23802,23822,,苹果园,T49,,
G433,34,2,24022,24052,,古城,T49,,
G433,34,3,24202,24232,,八角游乐园,T49,,
G433,34,4,24382,24407,,八宝山,T49,,
G433,34,5,24527,24562,,玉泉路,T49,,
G433,34,6,24702,24742,,五棵松,T49,,
G433,34,7,24877,24912,,万寿路,T49,,
G433,34,8,25022,25067,,公主坟,T49,,
G433,34,9,25167,25217,,军事博物馆,T49,,
G433,34,10,25317,25347,,木樨地,T49,,
G433,34,11,25467,25494,,南礼士路,T49,,
G433,34,12,25574,25624,,复兴门,T49,,
G433,34,13,25744,25788,,西单,T49,,
G433,34,14,25893,25919,,天安门西,T49,,
G433,34,15,26009,26037,,天安门东,T49,,
G433,34,16,26127,26157,,王府井,T49,,
G433,34,17,26242,26287,,东单,T49,,
G433,34,18,26397,26442,,建国门,T49,,
G433,34,19,26562,26592,,永安里,T49,,
G433,34,20,26677,26722,,国贸,T49,,
G433,34,21,26842,26887,,大望路,T49,,
G433,34,22,27030,27060,,四惠,T49,,
G433,34,23,27180,27180,,四惠东,T49,,
G433,32,1,24190,24210,,苹果园,T49,,
G433,32,2,24410,24440,,古城,T49,,
G433,32,3,24590,24620,,八角游乐园,T49,,
G433,32,4,24770,24795,,八宝山,T49,,
G433,32,5,24915,24950,,玉泉路,T49,,
G433,32,6,25090,25130,,五棵松,T49,,
G433,32,7,25265,25300,,万寿路,T49,,
G433,32,8,25410,25455,,公主坟,T49,,
G433,32,9,25555,25605,,军事博物馆,T49,,
G433,32,10,25705,25735,,木樨地,T49,,
G433,32,11,25855,25882,,南礼士路,T49,,
G433,32,12,25962,26012,,复兴门,T49,,
G433,32,13,26132,26176,,西单,T49,,
G433,32,14,26281,26307,,天安门西,T49,,
G433,32,15,26397,26425,,天安门东,T49,,
G433,32,16,26515,26545,,王府井,T49,,
G433,32,17,26630,26675,,东单,T49,,
G433,32,18,26785,26830,,建国门,T49,,
G433,32,19,26950,26980,,永安里,T49,,
G433,32,20,27065,27110,,国贸,T49,,
G433,32,21,27230,27275,,大望路,T49,,
G433,32,22,27418,27448,,四惠,T49,,
G433,32,23,27568,27568,,四惠东,T49,,
G433,34,1,24578,24598,,苹果园,T49,,
G433,34,2,24798,24828,,古城,T49,,
G433,34,3,24978,25008,,八角游乐园,T49,,
G433,34,4,25158,25183,,八宝山,T49,,
G433,34,5,25303,25338,,玉泉路,T49,,
G433,34,6,25478,25518,,五棵松,T49,,
G433,34,7,25653,25688,,万寿路,T49,,
G433,34,8,25798,25843,,公主坟,T49,,
G433,34,9,25943,25993,,军事博物馆,T49,,
G433,34,10,26093,26123,,木樨地,T49,,
G433,34,11,26243,26270,,南礼士路,T49,,
G433,34,12,26350,26400,,复兴门,T49,,
G433,34,13,26520,26564,,西单,T49,,
G433,34,14,26669,26695,,天安门西,T49,,
G433,34,15,26785,26813,,天安门东,T49,,
G433,34,16,26903,26933,,王府井,T49,,
G433,34,17,27018,27063,,东单,T49,,
G433,34,18,27173,27218,,建国门,T49,,
G433,34,19,27338,27368,,永安里,T49,,
G433,34,20,27453,27498,,国贸,T49,,
G433,34,21,27618,27663,,大望路,T49,,
G433,34,22,27806,27836,,四惠,T49,,
G433,34,23,27956,27956,,四惠东,T49,,
G433,32,1,24966,24986,,苹果园,T49,,
G433,32,2,25186,25216,,古城,T49,,
G433,32,3,25366,25396,,八角游乐园,T49,,
G433,32,4,25546,25571,,八宝山,T49,,
G433,32,5,25691,25726,,玉泉路,T49,,
G433,32,6,25866,25906,,五棵松,T49,,
G433,32,7,26041,26076,,万寿路,T49,,
G433,32,8,26186,26231,,公主坟,T49,,
G433,32,9,26331,26381,,军事博物馆,T49,,
G433,32,10,26481,26511,,木樨地,T49,,
G433,32,11,26631,26658,,南礼士路,T49,,
G433,32,12,26738,26788,,复兴门,T49,,
G433,32,13,26908,26952,,西单,T49,,
G433,32,14,27057,27083,,天安门西,T49,,
G433,32,15,27173,27201,,天安门东,T49,,
G433,32,16,27291,27321,,王府井,T49,,
G433,32,17,27406,27451,,东单,T49,,
G433,32,18,27561,27606,,建国门,T49,,
G433,32,19,27726,27756,,永安里,T49,,
G433,32,20,27841,27886,,国贸,T49,,
G433,32,21,28006,28051,,大望路,T49,,
G433,32,22,28194,28224,,四惠,T49,,
G433,32,23,28344,28344,,四惠东,T49,,
G433,34,1,25354,25374,,苹果园,T49,,
G433,34,2,25574,25604,,古城,T49,,
G433,34,3,25754,25784,,八角游乐园,T49,,
G433,34,4,25934,25959,,八宝山,T49,,
G433,34,5,26079,26114,,玉泉路,T49,,
G433,34,6,26254,26294,,五棵松,T49,,
G433,34,7,26429,26464,,万寿路,T49,,
G433,34,8,26574,26619,,公主坟,T49,,
G433,34,9,26719,26769,,军事博物馆,T49,,
G433,34,10,26869,26899,,木樨地,T49,,
G433,34,11,27019,27046,,南礼士路,T49,,
G433,34,12,27126,27176,,复兴门,T49,,
G433,34,13,27296,27340,,西单,T49,,
G433,34,14,27445,27471,,天安门西,T49,,
G433,34,15,27561,27589,,天安门东,T49,,
G433,34,16,27679,27709,,王府井,T49,,
G433,34,17,27794,27839,,东单,T49,,
G433,34,18,27949,27994,,建国门,T49,,
G433,34,19,28114,28144,,永安里,T49,,
G433,34,20,28229,28274,,国贸,T49,,
G433,34,21,28394,28439,,大望路,T49,,
G433,34,22,28582,28612,,四惠,T49,,
G433,34,23,28732,28732,,四惠东,T49,,
G433,32,1,25742,25762,,苹果园,T49,,
G433,32,2,25962,25992,,古城,T49,,
G433,32,3,26142,26172,,八角游乐园,T49,,
G433,32,4,26322,26347,,八宝山,T49,,
G433,32,5,26467,26502,,玉泉路,T49,,
G433,32,6,26642,26682,,五棵松,T49,,
G433,32,7,26817,26852,,万寿路,T49,,
G433,32,8,26962,27007,,公主坟,T49,,
G433,32,9,27107,27157,,军事博物馆,T49,,
G433,32,10,27257,27287,,木樨地,T49,,
G433,32,11,27407,27434,,南礼士路,T49,,
G433,32,12,27514,27564,,复兴门,T49,,
G433,32,13,27684,27728,,西单,T49,,
G433,32,14,27833,27859,,天安门西,T49,,
G433,32,15,27949,27977,,天安门东,T49,,
G433,32,16,28067,28097,,王府井,T49,,
G433,32,17,28182,28227,,东单,T49,,
G433,32,18,28337,28382,,建国门,T49,,
G433,32,19,28502,28532,,永安里,T49,,
G433,32,20,28617,28662,,国贸,T49,,
G433,32,21,28782,28827,,大望路,T49,,
G433,32,22,28970,29000,,四惠,T49,,
G433,32,23,29120,29120,,四惠东,T49,,
G433,34,1,26130,26150,,苹果园,T49,,
G433,34,2,26350,26380,,古城,T49,,
G433,34,3,26530,26560,,八角游乐园,T49,,
G433,34,4,26710,26735,,八宝山,T49,,
G433,34,5,26855,26890,,玉泉路,T49,,
G433,34,6,27030,27070,,五棵松,T49,,
G433,34,7,27205,27240,,万寿路,T49,,
G433,34,8,27350,27395,,公主坟,T49,,
G433,34,9,27495,27545,,军事博物馆,T49,,
G433,34,10,27645,27675,,木樨地,T49,,
G433,34,11,27795,27822,,南礼士路,T49,,
G433,34,12,27902,27952,,复兴门,T49,,
G433,34,13,28072,28116,,西单,T49,,
G433,34,14,28221,28247,,天安门西,T49,,
G433,34,15,28337,28365,,天安门东,T49,,
G433,34,16,28455,28485,,王府井,T49,,
G433,34,17,28570,28615,,东单,T49,,
G433,34,18,28725,28770,,建国门,T49,,
G433,34,19,28890,28920,,永安里,T49,,
G433,34,20,29005,29050,,国贸,T49,,
G433,34,21,29170,29215,,大望路,T49,,
G433,34,22,29358,29388,,四惠,T49,,
G433,34,23,29508,29508,,四惠东,T49,,
G433,32,1,26518,26538,,苹果园,T49,,
G433,32,2,26738,26768,,古城,T49,,
G433,32,3,26918,26948,,八角游乐园,T49,,
G433,32,4,27098,27123,,八宝山,T49,,
G433,32,5,27243,27278,,玉泉路,T49,,
G433,32,6,27418,27458,,五棵松,T49,,
G433,32,7,27593,27628,,万寿路,T49,,
G433,32,8,27738,27783,,公主坟,T49,,
G433,32,9,27883,27933,,军事博物馆,T49,,
G433,32,10,28033,28063,,木樨地,T49,,
G433,32,11,28183,28210,,南礼士路,T49,,
G433,32,12,28290,28340,,复兴门,T49,,
G433,32,13,28460,28504,,西单,T49,,
G433,32,14,28609,28635,,天安门西,T49,,
G433,32,15,28725,28753,,天安门东,T49,,
G433,32,16,28843,28873,,王府井,T49,,
G433,32,17,28958,29003,,东单,T49,,
G433,32,18,29113,29158,,建国门,T49,,
G433,32,19,29278,29308,,永安里,T49,,
G433,32,20,29393,29438,,国贸,T49,,
G433,32,21,29558,29603,,大望路,T49,,
G433,32,22,29746,29776,,四惠,T49,,
G433,32,23,29896,29896,,四惠东,T49,,
G433,34,1,26906,26926,,苹果园,T49,,
G433,34,2,27126,27156,,古城,T49,,
G433,34,3,27306,27336,,八角游乐园,T49,,
G433,34,4,27486,27511,,八宝山,T49,,
G433,34,5,27631,27666,,玉泉路,T49,,
G433,34,6,27806,27846,,五棵松,T49,,
G433,34,7,27981,28016,,万寿路,T49,,
G433,34,8,28126,28171,,公主坟,T49,,
G433,34,9,28271,28321,,军事博物馆,T49,,
G433,34,10,28421,28451,,木樨地,T49,,
G433,34,11,28571,28598,,南礼士路,T49,,
G433,34,12,28678,28728,,复兴门,T49,,
G433,34,13,28848,28892,,西单,T49,,
G433,34,14,28997,29023,,天安门西,T49,,
G433,34,15,29113,29141,,天安门东,T49,,
G433,34,16,29231,29261,,王府井,T49,,
G433,34,17,29346,29391,,东单,T49,,
G433,34,18,29501,29546,,建国门,T49,,
G433,34,19,29666,29696,,永安里,T49,,
G433,34,20,29781,29826,,国贸,T49,,
G433,34,21,29946,29991,,大望路,T49,,
G433,34,22,30134,30164,,四惠,T49,,
G433,34,23,30284,30284,,四惠东,T49,,
G433,32,1,27294,27314,,苹果园,T49,,
G433,32,2,27514,27544,,古城,T49,,
G433,32,3,27694,27724,,八角游乐园,T49,,
G433,32,4,27874,27899,,八宝山,T49,,
G433,32,5,28019,28054,,玉泉路,T49,,
G433,32,6,28194,28234,,五棵松,T49,,
G433,32,7,28369,28404,,万寿路,T49,,
G433,32,8,28514,28559,,公主坟,T49,,
G433,32,9,28659,28709,,军事博物馆,T49,,
G433,32,10,28809,28839,,木樨地,T49,,
G433,32,11,28959,28986,,南礼士路,T49,,
G433,32,12,29066,29116,,复兴门,T49,,
G433,32,13,29236,29280,,西单,T49,,
G433,32,14,29385,29411,,天安门西,T49,,
G433,32,15,29501,29529,,天安门东,T49,,
G433,32,16,29619,29649,,王府井,T49,,
G433,32,17,29734,29779,,东单,T49,,
G433,32,18,29889,29934,,建国门,T49,,
G433,32,19,30054,30084,,永安里,T49,,
G433,32,20,30169,30214,,国贸,T49,,
G433,32,21,30334,30379,,大望路,T49,,
G433,32,22,30522,30552,,四惠,T49,,
G433,32,23,30672,30672,,四惠东,T49,,
G433,34,1,27682,27702,,苹果园,T49,,
G433,34,2,27902,27932,,古城,T49,,
G433,34,3,28082,28112,,八角游乐园,T49,,
G433,34,4,28262,28287,,八宝山,T49,,
G433,34,5,28407,28442,,玉泉路,T49,,
G433,34,6,28582,28622,,五棵松,T49,,
G433,34,7,28757,28792,,万寿路,T49,,
G433,34,8,28902,28947,,公主坟,T49,,
G433,34,9,29047,29097,,军事博物馆,T49,,
G433,34,10,29197,29227,,木樨地,T49,,
G433,34,11,29347,29374,,南礼士路,T49,,
G433,34,12,29454,29504,,复兴门,T49,,
G433,34,13,29624,29668,,西单,T49,,
G433,34,14,29773,29799,,天安门西,T49,,
G433,34,15,29889,29917,,天安门东,T49,,
G433,34,16,30007,30037,,王府井,T49,,
G433,34,17,30122,30167,,东单,T49,,
G433,34,18,30277,30322,,建国门,T49,,
G433,34,19,30442,30472,,永安里,T49,,
G433,34,20,30557,30602,,国贸,T49,,
G433,34,21,30722,30767,,大望路,T49,,
G433,34,22,30910,30940,,四惠,T49,,
G433,34,23,31060,31060,,四惠东,T49,,
G433,32,1,28070,28090,,苹果园,T49,,
G433,32,2,28290,28320,,古城,T49,,
G433,32,3,28470,28500,,八角游乐园,T49,,
G433,32,4,28650,28675,,八宝山,T49,,
G433,32,5,28795,28830,,玉泉路,T49,,
G433,32,6,28970,29010,,五棵松,T49,,
G433,32,7,29145,29180,,万寿路,T49,,
G433,32,8,29290,29335,,公主坟,T49,,
G433,32,9,29435,29485,,军事博物馆,T49,,
G433,32,10,29585,29615,,木樨地,T49,,
G433,32,11,29735,29762,,南礼士路,T49,,
G433,32,12,29842,29892,,复兴门,T49,,
G433,32,13,30012,30056,,西单,T49,,
G433,32,14,30161,30187,,天安门西,T49,,
G433,32,15,30277,30305,,天安门东,T49,,
G433,32,16,30395,30425,,王府井,T49,,
G433,32,17,30510,30555,,东单,T49,,
G433,32,18,30665,30710,,建国门,T49,,
G433,32,19,30830,30860,,永安里,T49,,
G433,32,20,30945,30990,,国贸,T49,,
G433,32,21,31110,31155,,大望路,T49,,
G433,32,22,31298,31328,,四惠,T49,,
G433,32,23,31448,31448,,四惠东,T49,,
G433,34,1,28458,28478,,苹果园,T49,,
G433,34,2,28678,28708,,古城,T49,,
G433,34,3,28858,28888,,八角游乐园,T49,,
G433,34,4,29038,29063,,八宝山,T49,,
G433,34,5,29183,29218,,玉泉路,T49,,
G433,34,6,29358,29398,,五棵松,T49,,
G433,34,7,29533,29568,,万寿路,T49,,
G433,34,8,29678,29723,,公主坟,T49,,
G433,34,9,29823,29873,,军事博物馆,T49,,
G433,34,10,29973,30003,,木樨地,T49,,
G433,34,11,30123,30150,,南礼士路,T49,,
G433,34,12,30230,30280,,复兴门,T49,,
G433,34,13,30400,30444,,西单,T49,,
G433,34,14,30549,30575,,天安门西,T49,,
G433,34,15,30665,30693,,天安门东,T49,,
G433,34,16,30783,30813,,王府井,T49,,
G433,34,17,30898,30943,,东单,T49,,
G433,34,18,31053,31098,,建国门,T49,,
G433,34,19,31218,31248,,永安里,T49,,
G433,34,20,31333,31378,,国贸,T49,,
G433,34,21,31498,31543,,大望路,T49,,
G433,34,22,31686,31716,,四惠,T49,,
G433,34,23,31836,31836,,四惠东,T49,,
S405,8,23,19350,19350,,四惠东,T7,,
S405,8,22,19490,19520,,四惠,T7,,
S405,8,21,19663,19708,,大望路,T7,,
S405,8,20,19828,19873,,国贸,T7,,
S405,8,19,19958,19988,,永安里,T7,,
S405,8,18,20108,20153,,建国门,T7,,
S405,8,17,20263,20308,,东单,T7,,
S405,8,16,20393,20423,,王府井,T7,,
S405,8,15,20513,20539,,天东,T7,,
S405,8,14,20629,20655,,天西,T7,,
S405,8,13,20760,20805,,西单,T7,,
S405,8,12,20925,20975,,复兴门,T7,,
S405,8,11,21035,21061,,礼士路,T7,,
S405,8,10,21181,21211,,木樨地,T7,,
S405,8,9,21311,21361,,军博,T7,,
S405,8,8,21461,21502,,公主坟,T7,,
S405,8,7,21612,21647,,万寿路,T7,,
S405,8,6,21782,21817,,五棵松,T7,,
S405,8,5,21957,21987,,玉泉路,T7,,
S405,8,4,22107,22137,,八宝山,T7,,
S405,8,3,22287,22317,,八角村,T7,,
S405,8,2,22467,22497,,古城,T7,,
S405,8,1,22697,22697,,苹果园,T7,,
S405,10,23,19752,19752,,四惠东,T7,,
S405,10,22,19892,19922,,四惠,T7,,
S405,10,21,20065,20110,,大望路,T7,,
S405,10,20,20230,20275,,国贸,T7,,
S405,10,19,20360,20390,,永安里,T7,,
S405,10,18,20510,20555,,建国门,T7,,
S405,10,17,20665,20710,,东单,T7,,
S405,10,16,20795,20825,,王府井,T7,,
S405,10,15,20915,20941,,天东,T7,,
S405,10,14,21031,21057,,天西,T7,,
S405,10,13,21162,21207,,西单,T7,,
S405,10,12,21327,21377,,复兴门,T7,,
S405,10,11,21437,21463,,礼士路,T7,,
S405,10,10,21583,21613,,木樨地,T7,,
S405,10,9,21713,21763,,军博,T7,,
S405,10,8,21863,21904,,公主坟,T7,,
S405,10,7,22014,22049,,万寿路,T7,,
S405,10,6,22184,22219,,五棵松,T7,,
S405,10,5,22359,22389,,玉泉路,T7,,
S405,10,4,22509,22539,,八宝山,T7,,
S405,10,3,22689,22719,,八角村,T7,,
S405,10,2,22869,22899,,古城,T7,,
S405,10,1,23099,23099,,苹果园,T7,,
S405,8,23,20154,20154,,四惠东,T7,,
S405,8,22,20294,20324,,四惠,T7,,
S405,8,21,20467,20512,,大望路,T7,,
S405,8,20,20632,20677,,国贸,T7,,
S405,8,19,20762,20792,,永安里,T7,,
S405,8,18,20912,20957,,建国门,T7,,
S405,8,17,21067,21112,,东单,T7,,
S405,8,16,21197,21227,,王府井,T7,,
S405,8,15,21317,21343,,天东,T7,,
S405,8,14,21433,21459,,天西,T7,,
S405,8,13,21564,21609,,西单,T7,,
S405,8,12,21729,21779,,复兴门,T7,,
S405,8,11,21839,21865,,礼士路,T7,,
S405,8,10,21985,22015,,木樨地,T7,,
S405,8,9,22115,22165,,军博,T7,,
S405,8,8,22265,22306,,公主坟,T7,,
S405,8,7,22416,22451,,万寿路,T7,,
S405,8,6,22586,22621,,五棵松,T7,,
S405,8,5,22761,22791,,玉泉路,T7,,
S405,8,4,22911,22941,,八宝山,T7,,
S405,8,3,23091,23121,,八角村,T7,,
S405,8,2,23271,23301,,古城,T7,,
S405,8,1,23501,23501,,苹果园,T7,,
S405,10,23,20556,20556,,四惠东,T7,,
S405,10,22,20696,20726,,四惠,T7,,
S405,10,21,20869,20914,,大望路,T7,,
S405,10,20,21034,21079,,国贸,T7,,
S405,10,19,21164,21194,,永安里,T7,,
S405,10,18,21314,21359,,建国门,T7,,
S405,10,17,21469,21514,,东单,T7,,
S405,10,16,21599,21629,,王府井,T7,,
S405,10,15,21719,21745,,天东,T7,,
S405,10,14,21835,21861,,天西,T7,,
S405,10,13,21966,22011,,西单,T7,,
S405,10,12,22131,22181,,复兴门,T7,,
S405,10,11,22241,22267,,礼士路,T7,,
S405,10,10,22387,22417,,木樨地,T7,,
